# Benchmark iops bw lat99
read_4k 21842.405253 87369 1597440
read_4k_qd1 11684.41052 46737 87552
write_4k 104232.825572 416931 346112
write_4k_qd1 19412.152928 77648 51968
read_128k 4905.345954 627884 8978432
read_128k_qd1 2667.244425 341407 497664
write_128k 14829.372354 1898159 2932736
write_128k_qd1 5842.80524 747879 140288
