# Benchmark iops bw lat99
read_4k 342492.814215 1369971 113152
read_4k_qd1 24249.017159 96996 41728
write_4k 187058.65563 748234 199680
write_4k_qd1 32095.990205 128383 28288
read_128k 13369.918907 1711349 2834432
read_128k_qd1 3447.086051 441227 382976
write_128k 6161.71493 788699 5472256
write_128k_qd1 6422.579381 822090 162816
