# Benchmark rd_iops rd_bw rd_lat99 wr_iops wr_bw wr_lat99
rand-read-4k 19244.991834 76979 1974272 0 0 0
rand-read-4k-qd1 13533.466667 54133 125440 0 0 0
rand-write-4k 0 0 0 144359.588014 577438 259072
rand-write-4k-qd1 0 0 0 36097.630079 144390 32384
rand-read-128k 4370.092648 559371 11730944 0 0 0
rand-read-128k-qd1 2515.049498 321926 651264 0 0 0
rand-write-128k 0 0 0 14418.719376 1845596 3031040
rand-write-128k-qd1 0 0 0 8775.240825 1123230 152576
