# Benchmark iops bw lat99
"4k read" 128939.235359 515756 448512
"4k read (qd1)" 8443.318556 33773 160768
"4k write" 38698.410053 154793 937984
"4k write (qd1)" 14576.580781 58306 69120
"128k read" 13540.679265 1733206 2736128
"128k read (qd1)" 2669.577681 341705 536576
"128k write" 4655.068986 595848 7372800
"128k write (qd1)" 2634.745508 337247 248832
