# Benchmark rd_iops rd_bw rd_lat99 wr_iops wr_bw wr_lat99
rand-read-4k 303.274877 1213 175112192 0 0 0
rand-read-4k-qd1 266.786631 1067 17956864 0 0 0
rand-write-4k 0 0 0 26631.115851 106524 15794176
rand-write-4k-qd1 0 0 0 7385.328134 29541 99840
rand-read-128k 105.576233 13513 438304768 0 0 0
rand-read-128k-qd1 101.383103 12977 42729472 0 0 0
rand-write-128k 0 0 0 399.587093 51147 120061952
rand-write-128k-qd1 0 0 0 311.023753 39811 23461888
