# Benchmark iops bw lat99
"4k read" 1022.078265 4088 509607936
"4k read (qd1)" 650.923272 2603 15138816
"4k write" 0.587328 2 17112760320
"4k write (qd1)" 233.607645 934 74240
"128k read" 247.340601 31659 522190848
"128k read (qd1)" 266.046791 34053 14352384
"128k write" 182.205647 23322 235929600
"128k write (qd1)" 185.621002 23759 129536
