# Benchmark iops bw lat99
read_4k 983.905901 3935 83361792
read_4k_qd1 984.40208 3937 14614528
write_4k 26550.968043 106203 15794176
write_4k_qd1 7461.123146 29844 70144
read_128k 222.310836 28455 254803968
read_128k_qd1 228.818079 29288 34865152
write_128k 395.061728 50567 131596288
write_128k_qd1 310.098957 39692 23724032
