# Benchmark rd_iops rd_bw rd_lat99 wr_iops wr_bw wr_lat99
rand-read-4k 21687.843739 86751 1646592 0 0 0
rand-read-4k-qd1 11197.39342 44789 91648 0 0 0
rand-write-4k 0 0 0 103567.247758 414268 337920
rand-write-4k-qd1 0 0 0 18723.642545 74894 51968
rand-read-128k 4933.579951 631498 8355840 0 0 0
rand-read-128k-qd1 2548.448385 326201 505856 0 0 0
rand-write-128k 0 0 0 14518.149395 1858323 3129344
rand-write-128k-qd1 0 0 0 4717.676077 603862 333824
