# Benchmark iops bw lat99
"4k read" 346238.658711 1384954 154624
"4k read (qd1)" 21793.30689 87173 97792
"4k write" 177890.603647 711562 197632
"4k write (qd1)" 31265.391154 125061 29568
"128k read" 13144.218911 1682460 2899968
"128k read (qd1)" 5221.325956 668329 232448
"128k write" 6259.581417 801226 6914048
"128k write (qd1)" 6100.929969 780919 160768
